# time, h1_signal, l1_signal
1.953125000000000000e-02 -9.845287925408991560e-25 1.898878930501615695e-24
2.001953125000000000e-02 -1.160857145475208093e-24 1.874272466037127516e-24
2.050781250000000000e-02 -1.327484458746881192e-24 1.834081769427876564e-24
2.099609375000000000e-02 -1.483068294931253838e-24 1.778629146424363955e-24
2.148437500000000000e-02 -1.626279091035808428e-24 1.708353971890380350e-24
2.197265625000000000e-02 -1.755923707735764858e-24 1.623880763849657565e-24
2.246093750000000000e-02 -1.870963574033795748e-24 1.525893271371028657e-24
2.294921875000000000e-02 -1.970401071297223392e-24 1.415191705766470793e-24
2.343750000000000000e-02 -2.053415129848252335e-24 1.292737602393784398e-24
2.392578125000000000e-02 -2.119350321512160423e-24 1.159525676859551708e-24
2.441406250000000000e-02 -2.167615903747966006e-24 1.016656143306818472e-24
2.490234375000000000e-02 -2.197826730998062731e-24 8.653554109926178703e-25
2.539062500000000000e-02 -2.209761754973841062e-24 7.068518879269559576e-25
2.587890625000000000e-02 -2.203278283650224569e-24 5.424624987815543162e-25
2.636718750000000000e-02 -2.178453644776339211e-24 3.735894862893793695e-25
2.685546875000000000e-02 -2.135516206803600530e-24 2.016043577298971542e-25
2.734375000000000000e-02 -2.074779376231235177e-24 2.794446430019934675e-26
2.783203125000000000e-02 -1.996779360139655559e-24 -1.459147776995545776e-25
2.832031250000000000e-02 -1.902180277574674610e-24 -3.185635469207044557e-25
2.880859375000000000e-02 -1.791728501544125877e-24 -4.885531467567764464e-25
2.929687500000000000e-02 -1.666380333445989547e-24 -6.544453910288781087e-25
2.978515625000000000e-02 -1.527184718795824558e-24 -8.148986332332454889e-25
3.027343750000000000e-02 -1.375260953525072735e-24 -9.685586713264637417e-25
3.076171875000000000e-02 -1.211913741845993926e-24 -1.114128522504035121e-24
3.125000000000000000e-02 -1.038499179425057722e-24 -1.250434783885080380e-24
3.173828125000000000e-02 -8.564266413183919289e-25 -1.376318255253462666e-24
3.222656250000000000e-02 -6.672560629064913892e-25 -1.490720860737652641e-24
3.271484375000000000e-02 -4.725507318874344933e-25 -1.592728376112278623e-24
3.320312500000000000e-02 -2.739028354032216986e-25 -1.681462904453790478e-24
3.369140625000000000e-02 -7.301057598415414902e-26 -1.756182800302655002e-24
3.417968750000000000e-02 1.284748495240584094e-25 -1.816300492030595748e-24
3.466796875000000000e-02 3.288989526907377383e-25 -1.861281679675689130e-24
3.515625000000000000e-02 5.265486882268931918e-25 -1.890755642249124523e-24
3.564453125000000000e-02 7.198061625608592914e-25 -1.904507691359763594e-24
3.613281250000000000e-02 9.070765975738830145e-25 -1.902387686737496138e-24
3.662109375000000000e-02 1.086757670753708879e-24 -1.884425188267923242e-24
3.710937500000000000e-02 1.257388043288550801e-24 -1.850795647131446125e-24
3.759765625000000000e-02 1.417554535169649753e-24 -1.801741322460074569e-24
